year,id1,id2
2006,77,11686
2005,77,59039
2016,79,7928
2005,80,42943
2006,81,1484
2003,82,35133
2003,82,39333
2005,83,4521
2005,83,5698
2010,85,20387
2002,85,27350
2002,85,37676
2000,85,57738
2011,87,10538
2011,87,46465
2011,87,49113
2011,87,51375
2011,87,54070
2011,87,76361
1996,89,47528
1996,89,72972
2006,90,22839
2006,90,28570
1984,91,69055
2014,94,867
2015,94,2856
2014,94,30559
2014,94,43579
2012,94,45415
2015,94,47728
2002,96,42907
2003,96,47389
2006,97,31544
2006,97,61245
2002,98,22486
2011,99,31435
2011,99,66385
2001,100,58521
2013,101,68474
2005,102,57139
2007,103,1684
2007,103,56411
2010,103,58768
2016,104,23825
2010,105,29093
2006,106,28442
2006,106,63260
2006,106,66804
2004,108,37827
2009,109,3736
2009,109,28660
2009,109,56055
2006,110,33547
2004,111,53690
2006,113,12840
2006,113,25941
2004,113,28683
2004,113,43013
2006,113,46074
2006,113,56678
2006,113,76125
2004,114,5322
1999,114,9477
2006,114,47261
1999,114,52565
2006,114,61977
2004,114,74720
2012,116,47846
2011,117,53475
1999,118,65532
1999,118,72031
2004,120,708
2004,122,5873
2002,122,53236
2004,125,30108
2016,125,45350
2015,126,54140
2015,127,457
2016,127,1166
2016,127,22432
2017,127,31439
2004,129,32654
2006,130,2912
2006,130,10174
2002,132,61235
2006,133,56273
2006,133,74126
2006,135,11033
2006,136,16061
2004,136,49356
2006,136,71869
2011,137,31110
2011,137,38950
2011,138,46453
2008,139,4426
2008,139,55415
2004,142,3546
2005,142,3742
2002,142,39554
2005,142,45561
1998,145,7989
2015,146,38096
2015,146,46150
2015,146,51308
2002,147,15258
2002,147,16965
2006,147,43381
2006,147,54909
2011,149,21543
2011,149,51175
2003,150,28695
1978,151,4377
2002,151,5262
1977,151,30105
1967,151,69482
2002,151,71826
2016,152,27678
2015,152,58609
2012,153,40440
2006,154,2358
2006,154,36774
2006,154,43478
2006,154,43730
2004,155,38833
2004,157,5131
2000,158,27982
2000,158,29857
2002,159,71860
2010,160,57230
2015,161,32783
2006,162,28357
2001,164,32042
2016,166,28215
2012,166,31366
2004,167,13690
2004,167,36786
2004,167,37730
2004,167,41629
2004,167,51753
2003,168,9187
2004,168,20720
1997,168,49445
1997,168,61214
1998,169,52591
2014,170,76702
2009,171,55831
2001,172,1894
2001,172,24338
2001,172,25840
2001,172,41136
2004,174,2391
2004,174,20107
2004,174,44307
2004,174,54907
2002,176,1035
2005,176,30963
2002,176,45035
2003,176,60976
1963,178,8986
2003,179,5110
2006,181,5501
2006,181,24600
2011,182,14342
2011,182,56543
2011,182,66025
2011,183,2181
2000,184,17889
2003,185,16399
2003,185,47905
2003,186,60234
2004,189,11425
2015,189,35200
2010,189,46295
2015,189,59212
1999,189,63891
1998,190,54752
1998,190,70957
2009,192,15485
2010,192,34921
2010,192,54626
2011,192,55552
2009,192,55578
2009,192,64686
2006,195,11915
2006,195,40068
2005,195,52143
1984,197,26437
1986,197,33770
1997,198,52349
2004,199,27462
2006,199,71119
2001,200,31413
2004,201,49574
2005,202,60984
2005,202,63236
2005,203,13215
2005,203,41626
2006,203,45905
2006,204,7472
2006,204,58867
2004,205,26385
2006,205,46382
2006,205,66957
2006,206,78144
2014,207,2340
2004,208,58359
2004,214,12454
2002,214,73135
1991,215,14730
1991,215,50886
1991,215,55184
2005,216,47883
2010,217,49029
2014,219,13311
2012,219,44163
1999,221,5590
1990,222,16904
2003,222,34801
2003,222,56523
1999,222,57739
2013,222,65853
2010,223,5539
2001,224,76942
2004,225,4920
2012,225,14095
2006,225,53262
2006,225,54448
2012,225,64501
2001,226,3991
2006,226,37677
2003,226,56862
2006,226,75592
